Batch,Heigh(µm),Spacing(µm),Span(µm)
Batch 1,235.08170420436363,459.17068592562316,107.16166410185564
Batch 1,234.0527883481734,517.9895945013936,110.67572556162685
Batch 1,205.90934525188072,433.051490565672,79.39629218235298
Batch 1,212.88527224140194,497.0596642823173,83.04039800266972
Batch 1,253.69520428447817,552.7592294520282,100.35670836092285
Batch 1,208.59547684095975,593.9526325018022,87.61886080032909
Batch 1,237.95127430147875,599.9220090983315,95.51979432899948
Batch 1,205.46078165015086,618.5500129044086,70.43220262302233
Batch 1,267.90022466362444,586.7816523057213,102.77135023294602
Batch 1,212.2267750802596,475.59753806010673,102.30238397155337
Batch 1,189.54968818572866,516.5256448608812,86.7862075525521
Batch 1,197.3451624834055,463.5465544778835,84.55989814868948
Batch 1,207.1183803259149,472.46007543666576,93.02083408031187
Batch 1,196.68122885757327,557.4135659936699,94.71586661124695
Batch 1,196.40725607184586,456.0548750245164,90.47624932712378
Batch 1,203.87169042168415,458.94158737576595,102.09533852283658
Batch 1,265.4829142682173,475.8028564688276,93.0766447646209
Batch 1,199.69864085559445,457.8093515366869,97.5348876082718
Batch 1,225.43615168696658,556.5103011939484,91.27032297000797
Batch 1,186.39127537383166,545.8155629471934,92.20139642151591
Batch 1,223.44083537533,525.8862078763149,101.49267836850923
Batch 1,268.4776389934437,521.3958654277847,96.44024865315677
Batch 1,247.7038174250656,550.7483853130245,104.6588352051071
Batch 1,207.22062747543316,542.9437572207385,75.33514888129287
Batch 1,221.64351260138898,458.935784053187,82.53124112049585
Batch 1,271.36815559033835,401.29112135723096,97.00346538516013
Batch 1,248.81637722293567,470.64866887937154,109.37186995062079
Batch 1,222.22574781537662,472.89092720151564,78.47509753317445
Batch 1,198.38162074542944,525.2004154377485,103.99423249011029
Batch 1,262.22113708786617,433.3978443433696,93.91190937561655
Batch 1,202.61078993841994,635.2287664654623,92.55125107594475
Batch 1,169.59059996070647,488.90975710763934,95.98954668753642
Batch 1,208.53006720087012,524.3447512721208,93.66108402344409
Batch 1,193.36555853563743,594.6493295087544,75.2333880242598
Batch 1,204.00659472034414,536.2780712602989,100.12790175177236
Batch 1,199.55138192321073,433.6474332690692,72.5785968002702
Batch 1,232.3416024338182,625.4760930468583,105.51248959160156
Batch 1,260.9525979162057,639.9217188647237,79.39307217769459
Batch 1,164.94595677007104,406.9731594694385,74.18717744922525
Batch 1,280.78306149378705,521.0679868476877,99.18202021754705
Batch 1,201.74553660891834,606.4649957509222,95.16809952044403
Batch 1,227.44874978548137,465.55620934974934,84.59984654139292
Batch 1,205.23544754299706,552.5704530212333,83.28997789645592
Batch 1,226.66635359164252,644.9074249092749,77.33801090379679
Batch 1,192.14055981870357,501.6157582370272,84.97513390982067
Batch 1,273.7879472078064,495.23602286667233,73.28272825916704
Batch 1,252.89456852781947,576.2130198700321,85.10747335771191
Batch 1,267.45637952400807,589.5821804257566,106.54277741887753
Batch 1,189.0436615937263,569.9988898093764,89.55844364263612
Batch 1,227.44164215563814,513.8850618765146,83.54233150915655
Batch 1,232.69886753190488,529.2850766863377,79.49447519968929
Batch 1,210.54045392583026,545.513190338627,107.98602566004186
Batch 1,197.33747711017926,627.3119326102589,96.54904234019021
Batch 1,228.3664833832715,558.4834717907496,81.91782709630893
Batch 1,211.08480318770594,628.2283737549745,105.79516845013707
Batch 1,236.20089953434893,426.3635692761065,103.76511208159623
Batch 1,159.93012115225542,602.4180628317806,72.28819042403106
Batch 1,203.67616144916187,655.9402289260693,101.14279039644757
Batch 1,249.10101163344785,420.9660610656943,84.18126513560598
Batch 1,156.43391862090542,551.6130175965116,100.97173186641838
Batch 1,180.1324726389629,455.45771058850926,103.69492047359964
Batch 1,156.3656987135706,558.1536039362124,88.53289017851648
Batch 1,237.42130022738476,533.9477152032921,92.00485970288715
Batch 1,223.15203346330298,484.93913272615794,95.68365299542846
Batch 1,170.12380653202428,542.9939635790902,98.10114535277219
Batch 1,261.03145589532653,539.7519640032374,109.18828988504939
Batch 1,256.9193500333364,557.257754587815,73.80885502164745
Batch 1,206.65600863509894,476.0130867559813,98.78143529197476
Batch 1,163.07851066380053,546.5311018898831,89.52369725920752
Batch 1,243.3062836212798,560.4604770361364,94.06251536499909
Batch 1,252.41806398825793,544.1218165717445,94.02301868108762
Batch 1,225.87717585506778,568.1026453982274,84.31324208304245
Batch 1,219.7049031185005,600.2808228822827,108.46237578455293
Batch 1,193.6977791407359,444.18395619481294,85.34737939201212
Batch 1,182.91906379762588,640.578674430452,91.28506587200168
Batch 1,209.86019762521357,563.9589558148551,98.17701417251374
Batch 1,250.98389561310228,538.6686390535571,85.67247563592927
Batch 1,226.78901018288337,464.19009238437184,84.71245944231424
Batch 1,262.5661878765561,616.1679073460335,71.44404691057181
Batch 1,187.19803507372632,440.50502485314183,75.68159350075581
Batch 1,264.07443662733226,526.8191096975149,109.81792091162475
Batch 1,227.9622472802386,657.898329808737,101.3631713311187
Batch 1,217.27451513160676,527.0414097845565,94.90572133782803
Batch 1,241.45204547402074,593.495298575538,106.25635796192856
Batch 1,212.1534666435198,506.41476324840335,93.762099621705
